NULL,"Co-operative Party",0,"#000000",NULL,
NULL,"Common Good",0,"#000000",NULL,
NULL,"Communist League Election Campaign",0,"#000000",NULL,
NULL,"Communist Party of Britain",0,"#000000",NULL,
NULL,"Communities Against the Cuts",0,"#000000",NULL,
NULL,"Communities United Party",0,"#000000",NULL,
NULL,"Community Action Party",0,"#000000",NULL,
NULL,"Community Campaign (Hart)",0,"#000000",NULL,
NULL,"Community First",0,"#000000",NULL,
NULL,"Community Partnership (Northern Ireland)",0,"#000000",NULL,
NULL,"Community Representatives Party",0,"#000000",NULL,
NULL,"Conservative and Unionist Party",1,"#0000ff",NULL,
NULL,"Cumbernauld Independent Councillors Alliance",0,"#000000",NULL,
NULL,"Democracy 2015",0,"#000000",NULL,
NULL,"Democracy First",0,"#000000",NULL,
NULL,"Democratic Independence Party",0,"#000000",NULL,
NULL,"Democratic Reform Party",0,"#000000",NULL,
NULL,"Democratic Republican Party",0,"#000000",NULL,
NULL,"Democratic Unionist Party - D.U.P.",0,"#000000",NULL,
NULL,"Derwentside Independents",0,"#000000",NULL,
NULL,"Devizes Guardians",0,"#000000",NULL,
NULL,"Direct Democracy (Communist) Party",0,"#000000",NULL,
NULL,"Don't Cook Party",0,"#000000",NULL,
NULL,"Dunmow First",0,"#000000",NULL,
NULL,"ENG",0,"#000000",NULL,
NULL,"East Cleveland Independent",0,"#000000",NULL,
NULL,"East Lindsey Independent Group",0,"#000000",NULL,
NULL,"Edinburgh Residents Party",0,"#000000",NULL,
NULL,"Elm Park Residents' Association",0,"#000000",NULL,
NULL,"English Independence Party",0,"#000000",NULL,
NULL,"English National Party",0,"#000000",NULL,
NULL,"English Parliamentary Party",0,"#000000",NULL,
NULL,"English People's Party",0,"#000000",NULL,
NULL,"Equal Parenting Alliance",0,"#000000",NULL,
NULL,"Equal and Just Society",0,"#000000",NULL,
NULL,"Esher Residents Association",0,"#000000",NULL,
NULL,"Eston Independent Party",0,"#000000",NULL,
NULL,"Ewell Court Residents' Association",0,"#000000",NULL,
NULL,"Fancy Dress Party",0,"#000000",NULL,
NULL,"Fianna Fáil - The Republican Party",0,"#000000",NULL,
NULL,"Free Public Transport Party",0,"#000000",NULL,
NULL,"Free Scotland Party [FSP]",0,"#000000",NULL,
NULL,"Freedom Democrats",0,"#000000",NULL,
NULL,"Fulham Group",0,"#000000",NULL,
NULL,"Fylde Ratepayers",0,"#000000",NULL,
NULL,"Get Snouts Out The Trough",0,"#000000",NULL,
NULL,"Gift Economy Party",0,"#000000",NULL,
NULL,"Give Our Children A Future Party",0,"#000000",NULL,
NULL,"Glasgow First",0,"#000000",NULL,
NULL,"Green Party",1,"#00ff00",NULL,
NULL,"Hackney First",0,"#000000",NULL,
NULL,"Hadley & Leegomery Residents Association",0,"#000000",NULL,
NULL,"Halstead Residents' Association",0,"#000000",NULL,
NULL,"Handforth 'Ratepayers' Association (Independent)",0,"#000000",NULL,
NULL,"Harlow Independent Party",0,"#000000",NULL,
NULL,"Harold Wood Hill Park Residents Association",0,"#000000",NULL,
NULL,"Hartlepool Independents - Putting Hartlepool First",0,"#000000",NULL,
NULL,"Havering Residents Association",0,"#000000",NULL,
NULL,"Hawkwell Residents",0,"#000000",NULL,
NULL,"Heath & Birchgrove Independents",0,"#000000",NULL,
NULL,"Henley Independents",0,"#000000",NULL,
NULL,"Henley Residents Group",0,"#000000",NULL,
NULL,"Hersham Village Society",0,"#000000",NULL,
NULL,"Hextable Independent",0,"#000000",NULL,
NULL,"Hinchley Wood Residents Association",0,"#000000",NULL,
NULL,"Hoi Polloi",0,"#000000",NULL,
NULL,"Hornchurch Residents Association",0,"#000000",NULL,
NULL,"Humanity",0,"#000000",NULL,
NULL,"INDEPENDENT - Putting People First",0,"#000000",NULL,
NULL,"Independent Britwellian Residents",0,"#000000",NULL,
NULL,"Independent Green Voice",0,"#000000",NULL,
NULL,"Independent Group of Councillors",0,"#000000",NULL,
NULL,"Independent Kidderminster Hospital and Health Concern",0,"#000000",NULL,
NULL,"Independent Labour Group",0,"#000000",NULL,
NULL,"Independent Libertarian Network",0,"#000000",NULL,
NULL,"Independent Loughton Residents Association",0,"#000000",NULL,
NULL,"Independent Loxford",0,"#000000",NULL,
NULL,"Independent Working Class Association",0,"#000000",NULL,
NULL,"Independents @ Swansea",0,"#000000",NULL,
NULL,"Independents for Bristol",0,"#000000",NULL,
NULL,"Independents for Frome",0,"#000000",NULL,
NULL,"Independents of North Yorkshire",0,"#000000",NULL,
NULL,"Ingleby Barwick Independent Society",0,"#000000",NULL,
NULL,"Interactive Democracy",0,"#000000",NULL,
NULL,"Internet Democrats",0,"#000000",NULL,
NULL,"Irish Republican Socialist Party",0,"#000000",NULL,
NULL,"Islam Zinda Baad Platform",0,"#000000",NULL,
NULL,"It's OUR County (Herefordshire)",0,"#000000",NULL,
NULL,"Jubilee Party",0,"#000000",NULL,
NULL,"Justice For Men & Boys",0,"#000000",NULL,
NULL,"Justice Party",0,"#000000",NULL,
NULL,"Kaizen Liberal Utilitarian Democrats",0,"#000000",NULL,
NULL,"Keep Our St Helier Hospital Party",0,"#000000",NULL,
NULL,"LIFE",0,"#000000",NULL,
NULL,"Labour Party",1,"#ff0000",NULL,
NULL,"Labour Party of Northern Ireland",0,"#000000",NULL,
NULL,"Land Party",0,"#000000",NULL,
NULL,"Left Party",0,"#000000",NULL,
NULL,"Lewisham People Before Profit",0,"#000000",NULL,
NULL,"Liberal Democrats",1,"#ffff00",NULL,
NULL,"Libertarian Party",0,"#000000",NULL,
NULL,"Liberty Great Britain",0,"#000000",NULL,
NULL,"Lincolnshire Independents Lincolnshire First",0,"#000000",NULL,
NULL,"Llais Gwynedd - The Voice of Gwynedd",0,"#000000",NULL,
NULL,"Llandaff North Independents",0,"#000000",NULL,
NULL,"Llantwit First Independents",0,"#000000",NULL,
NULL,"Local Voice",0,"#000000",NULL,
NULL,"Magna Carta Conservation Party Great Britain",0,"#000000",NULL,
NULL,"Mainstream",0,"#000000",NULL,
NULL,"Mansfield Independent Forum",0,"#000000",NULL,
NULL,"Marylebone Residents",0,"#000000",NULL,
NULL,"Matriarchal Party United Kingdom Great Britain",0,"#000000",NULL,
NULL,"Mebyon Kernow - The Party for Cornwall",0,"#000000",NULL,
NULL,"Medway Independent Party",0,"#000000",NULL,
NULL,"Mercian Party",0,"#000000",NULL,
NULL,"Merthyr Independents",0,"#000000",NULL,
NULL,"Merton Park Ward Independent Residents",0,"#000000",NULL,
NULL,"Middlewich First",0,"#000000",NULL,
NULL,"Moorlands Democratic Alliance",0,"#000000",NULL,
NULL,"Morecambe Bay Independents",0,"#000000",NULL,
NULL,"Morley Borough Independents",0,"#000000",NULL,
NULL,"Motorcycle Alliance",0,"#000000",NULL,
NULL,"Motorists, Equity & Unity Party",0,"#000000",NULL,
NULL,"Movement for Active Democracy (M.A.D.)",0,"#000000",NULL,
NULL,"NI21",0,"#000000",NULL,
NULL,"NIC",0,"#000000",NULL,
NULL,"NO2EU",0,"#000000",NULL,
NULL,"NOTA",0,"#000000",NULL,
NULL,"Nantwich Independent Party",0,"#000000",NULL,
NULL,"National Flood Prevention Party",0,"#000000",NULL,
NULL,"National Front",0,"#000000",NULL,
NULL,"National Health Action",0,"#000000",NULL,
NULL,"National Liberal Party - True Liberalism",0,"#000000",NULL,
NULL,"National Republican And Democratic Party",0,"#000000",NULL,
NULL,"Nationwide Reform Party",0,"#000000",NULL,
NULL,"New Deal",0,"#000000",NULL,
NULL,"New England Party",0,"#000000",NULL,
NULL,"Newcastle upon Tyne Community First Party",0,"#000000",NULL,
NULL,"Newclear Order - The NO Party",0,"#000000",NULL,
NULL,"No Bedroom Tax - No Welfare Cuts",0,"#000000",NULL,
NULL,"Nork Residents' Association",0,"#000000",NULL,
NULL,"Northampton - Save Our Public Services",0,"#000000",NULL,
NULL,"Northchurch Residents Association",0,"#000000",NULL,
NULL,"Nottinghamshire Independent Forum",0,"#000000",NULL,
NULL,"Nottinghamshire Independents",0,"#000000",NULL,
NULL,"Official Monster Raving Loony Party",0,"#000000",NULL,
NULL,"Old Swan Against the Cuts",0,"#000000",NULL,
NULL,"Old Windsor Residents Association",0,"#000000",NULL,
NULL,"Open Liskeard",0,"#000000",NULL,
NULL,"Orkney Manifesto Group",0,"#000000",NULL,
NULL,"Patria",0,"#000000",NULL,
NULL,"Patriotic Socialist Party",0,"#000000",NULL,
NULL,"Peace and Progress",0,"#000000",NULL,
NULL,"Peasedown 1st",0,"#000000",NULL,
NULL,"Pensioners Peoples Party (PPP)",0,"#000000",NULL,
NULL,"People Against Bureaucracy Group",0,"#000000",NULL,
NULL,"People Before Profit Alliance",0,"#000000",NULL,
NULL,"People First - Gwerin Gyntaf",0,"#000000",NULL,
NULL,"People First Party",0,"#000000",NULL,
NULL,"People's Administration",0,"#000000",NULL,
NULL,"People's Democratic Party",0,"#000000",NULL,
NULL,"People's Front of Liberation Tigers",0,"#000000",NULL,
NULL,"Peterborough Independents",0,"#000000",NULL,
NULL,"Pettits Residents Association",0,"#000000",NULL,
NULL,"PiP",0,"#000000",NULL,
NULL,"Pirate Party UK",0,"#000000",NULL,
NULL,"Plaid Cymru - The Party of Wales",0,"#000000",NULL,
NULL,"Plaid Glyndwr",0,"#000000",NULL,
NULL,"Polegate Independent",0,"#000000",NULL,
NULL,"Polegate Residents' Association",0,"#000000",NULL,
NULL,"Populist Alliance",0,"#000000",NULL,
NULL,"Populist Party",0,"#000000",NULL,
NULL,"Port Talbot Residents Association",0,"#000000",NULL,
NULL,"Pro Liberty",0,"#000000",NULL,
NULL,"Progressive Party",0,"#000000",NULL,
NULL,"Progressive Unionist Party of Northern Ireland",0,"#000000",NULL,
NULL,"Proletarian",0,"#000000",NULL,
NULL,"Promise",0,"#000000",NULL,
NULL,"Protestant Coalition",0,"#000000",NULL,
NULL,"Putting Croydon First!",0,"#000000",NULL,
NULL,"REPRESENT",0,"#000000",NULL,
NULL,"Rainham Resident's Association",0,"#000000",NULL,
NULL,"Real Democracy Party",0,"#000000",NULL,
NULL,"Reform",0,"#000000",NULL,
NULL,"Reform 2000 Party",0,"#000000",NULL,
NULL,"Representative Democracy Party",0,"#000000",NULL,
NULL,"Republican Network For Unity",0,"#000000",NULL,
NULL,"Residents Associations of Epsom and Ewell",0,"#000000",NULL,
NULL,"Residents and Motorists of Great Britain",0,"#000000",NULL,
NULL,"Residents' Association of Cuddington",0,"#000000",NULL,
NULL,"Residents' Association of London",0,"#000000",NULL,
NULL,"Restoration Party",0,"#000000",NULL,
NULL,"Revolutionary Communist Party Britain (Marxist-Leninist)",0,"#000000",NULL,
NULL,"Richmondshire Independents",0,"#000000",NULL,
NULL,"Rochford District Residents",0,"#000000",NULL,
NULL,"Runnymede Independent Residents' Group",0,"#000000",NULL,
NULL,"SDLP (Social Democratic & Labour Party)",0,"#000000",NULL,
NULL,"Sandown Independents",0,"#000000",NULL,
NULL,"Save King George Hospital Party",0,"#000000",NULL,
NULL,"Scotland Against Crooked Lawyers",0,"#000000",NULL,
NULL,"Scottish Democratic Alliance",0,"#000000",NULL,
NULL,"Scottish Green Party",0,"#000000",NULL,
NULL,"Scottish National Party (SNP)",0,"#000000",NULL,
NULL,"Scottish Socialist Party",0,"#000000",NULL,
NULL,"Scottish Unionist Party",0,"#000000",NULL,
NULL,"Scottish Voice",0,"#000000",NULL,
NULL,"Selston Area Independents",0,"#000000",NULL,
NULL,"Shavington First",0,"#000000",NULL,
NULL,"Sinn Féin",0,"#000000",NULL,
NULL,"Social Democratic Party",0,"#000000",NULL,
NULL,"Socialist Alliance",0,"#000000",NULL,
NULL,"Socialist Alternative",0,"#000000",NULL,
NULL,"Socialist Equality Party",0,"#000000",NULL,
NULL,"Socialist Labour Party",0,"#000000",NULL,
NULL,"Socialist Party (Northern Ireland)",0,"#000000",NULL,
NULL,"Socialist People's Party",0,"#000000",NULL,
NULL,"Solidarity - Scotland's Socialist Movement",0,"#000000",NULL,
NULL,"Solihull and Meriden Residents Association",0,"#000000",NULL,
NULL,"Something New",0,"#000000",NULL,
NULL,"South Tyneside Progressives",0,"#000000",NULL,
NULL,"South Woodham Ferrers Independents",0,"#000000",NULL,
NULL,"Southampton First",0,"#000000",NULL,
NULL,"Space Navies Party",0,"#000000",NULL,
NULL,"Spelthorne Independent Party",0,"#000000",NULL,
NULL,"Spennymoor Independents",0,"#000000",NULL,
NULL,"St. George's Hill Independents",0,"#000000",NULL,
NULL,"Staffordshire Independent Group",0,"#000000",NULL,
NULL,"Stand",0,"#000000",NULL,
NULL,"Stoneleigh and Auriol Residents' Association",0,"#000000",NULL,
NULL,"Suffolk Together",0,"#000000",NULL,
NULL,"Sutton on Sea First",0,"#000000",NULL,
NULL,"Swanscombe and Greenhithe Residents Association",0,"#000000",NULL,
NULL,"TEA Party",0,"#000000",NULL,
NULL,"THE ETHICAL GOVERNANCE PARTY",0,"#000000",NULL,
NULL,"THE PARTY PARTY",0,"#000000",NULL,
NULL,"TUSP",0,"#000000",NULL,
NULL,"Tattenhams Residents' Association",0,"#000000",NULL,
NULL,"Tendring First",0,"#000000",NULL,
NULL,"Tewkesbury Independents",0,"#000000",NULL,
NULL,"Thames Ditton / Weston Green Residents' Association",0,"#000000",NULL,
NULL,"The Animal Protection Party",0,"#000000",NULL,
NULL,"The Birthday Party",0,"#000000",NULL,
NULL,"The Blue Party",0,"#000000",NULL,
NULL,"The Borders Party",0,"#000000",NULL,
NULL,"The Chase Independent Party",0,"#000000",NULL,
NULL,"The Citizens Party of Halton",0,"#000000",NULL,
NULL,"The Community (London Borough of Hounslow)",0,"#000000",NULL,
NULL,"The Community Group",0,"#000000",NULL,
NULL,"The Cornish Democrats",0,"#000000",NULL,
NULL,"The Cromwell Republican Commonwealth Party",0,"#000000",NULL,
NULL,"The Democratic Party",0,"#000000",NULL,
NULL,"The Democratic Realist Party",0,"#000000",NULL,
NULL,"The English Democrats",0,"#000000",NULL,
NULL,"The Entertainment Party",0,"#000000",NULL,
NULL,"The European Citizens Party",0,"#000000",NULL,
NULL,"The Fair Party",0,"#000000",NULL,
NULL,"The Free Democratic Party",0,"#000000",NULL,
NULL,"The Free Energy Party UK",0,"#000000",NULL,
NULL,"The Globalization Liberation Dream Party",0,"#000000",NULL,
NULL,"The Grumpy Old Men Political Party",0,"#000000",NULL,
NULL,"The Holland-on-Sea Residents' Association",0,"#000000",NULL,
NULL,"The Homeland Party",0,"#000000",NULL,
NULL,"The House Party - Homes For Londoners",0,"#000000",NULL,
NULL,"The Idle Toad",0,"#000000",NULL,
NULL,"The Independent Political Alliance Party",0,"#000000",NULL,
NULL,"The Independent Socialist Party",0,"#000000",NULL,
NULL,"The Justice & Anti-Corruption Party",0,"#000000",NULL,
NULL,"The Liberal Party",0,"#000000",NULL,
NULL,"The Ligali Party",0,"#000000",NULL,
NULL,"The Liverpool Independent Party",0,"#000000",NULL,
NULL,"The Magna Carta Party",0,"#000000",NULL,
NULL,"The Molesey Residents Association",0,"#000000",NULL,
NULL,"The Money Free Party",0,"#000000",NULL,
NULL,"The Monmouth Party",0,"#000000",NULL,
NULL,"The Nationwide Party",0,"#000000",NULL,
NULL,"The Ormskirk Party",0,"#000000",NULL,
NULL,"The Party for Poole People Ltd.",0,"#000000",NULL,
NULL,"The Peace Party - Non-violence, Justice, Environment",0,"#000000",NULL,
NULL,"The People's Representative",0,"#000000",NULL,
NULL,"The People's Unity Party",0,"#000000",NULL,
NULL,"The Peoples Party For Better Government",0,"#000000",NULL,
NULL,"The Pluralist Party",0,"#000000",NULL,
NULL,"The Realists' Party",0,"#000000",NULL,
NULL,"The Referendum Party",0,"#000000",NULL,
NULL,"The Republican Party",0,"#000000",NULL,
NULL,"The Republican Socialist Party",0,"#000000",NULL,
NULL,"The Residents' Association of Barnet",0,"#000000",NULL,
NULL,"The Respect Party",0,"#000000",NULL,
NULL,"The Say NO Party",0,"#000000",NULL,
NULL,"The Scottish Reformists' Party",0,"#000000",NULL,
NULL,"The Socialist Party of Great Britain",0,"#000000",NULL,
NULL,"The Southport Party",0,"#000000",NULL,
NULL,"The Taxpayers Party",0,"#000000",NULL,
NULL,"The True English (Poetry) Party",0,"#000000",NULL,
NULL,"The U(niversal) Party",0,"#000000",NULL,
NULL,"The United Democratic Party",0,"#000000",NULL,
NULL,"The Victims Final Right Party",0,"#000000",NULL,
NULL,"The Walton Society",0,"#000000",NULL,
NULL,"The Welsh Independent Party",0,"#000000",NULL,
NULL,"The Workers Party",0,"#000000",NULL,
NULL,"The Yorkshire Party",0,"#000000",NULL,
NULL,"Thornaby Independent Association",0,"#000000",NULL,
NULL,"Tower Hamlets First",0,"#000000",NULL,
NULL,"Trade Unionist and Socialist Coalition",0,"#000000",NULL,
NULL,"Traditional Unionist Voice - TUV",0,"#000000",NULL,
NULL,"True Brits",0,"#000000",NULL,
NULL,"True Democracy Party",0,"#000000",NULL,
NULL,"Truly Independent English Party",0,"#000000",NULL,
NULL,"UK Community Issues Party",0,"#000000",NULL,
NULL,"UK Independence Party (UK I P)",0,"#000000",NULL,
NULL,"UK Independence Party (UKIP)",1,"#ff00ff",NULL,
NULL,"UK Yorkshire Socialist Alliance Party",0,"#000000",NULL,
NULL,"UK in Europe Party (UK EPP)",0,"#000000",NULL,
NULL,"Ulster Unionist Party",0,"#000000",NULL,
NULL,"United Kingdom People Quality Life Party",0,"#000000",NULL,
NULL,"United People's Party",0,"#000000",NULL,
NULL,"United Voice",0,"#000000",NULL,
NULL,"Unity For Peace And Socialism",0,"#000000",NULL,
NULL,"Upminster and Cranham Residents Association",0,"#000000",NULL,
NULL,"VALOUR",0,"#000000",NULL,
NULL,"VOX POP",0,"#000000",NULL,
NULL,"Valley Independents",0,"#000000",NULL,
NULL,"Veritas",0,"#000000",NULL,
NULL,"Vivamus",0,"#000000",NULL,
NULL,"Vote Roehampton",0,"#000000",NULL,
NULL,"We Demand A Referendum Now",0,"#000000",NULL,
NULL,"Wear Valley Independent Group",0,"#000000",NULL,
NULL,"Welwyn Garden City Party",0,"#000000",NULL,
NULL,"Wessex Regionalists",0,"#000000",NULL,
NULL,"West Ewell and Ruxley Residents Association",0,"#000000",NULL,
NULL,"Weybridge Independents",0,"#000000",NULL,
NULL,"White Rose GB",0,"#000000",NULL,
NULL,"Whitnash Residents Association",0,"#000000",NULL,
NULL,"Whitwell Resident's Association",0,"#000000",NULL,
NULL,"Wigan Borough Green Socialists",0,"#000000",NULL,
NULL,"Wigan Independent Conservatives",0,"#000000",NULL,
NULL,"Wigan Independent Network",0,"#000000",NULL,
NULL,"Willingdon Residents' Association",0,"#000000",NULL,
NULL,"Workers Revolutionary Party",0,"#000000",NULL,
NULL,"Wythall Residents' Association",0,"#000000",NULL,
NULL,"Yarm Independent Association",0,"#000000",NULL,
NULL,"Yarm Residents Association",0,"#000000",NULL,
NULL,"Yes 2 Europe",0,"#000000",NULL,
NULL,"Young People's Party YPP",0,"#000000",NULL,
NULL,"Your Decision",0,"#000000",NULL,
NULL,"Zero Tolerance Policing ex Chief",0,"#000000",NULL,
NULL,"iXDemocracy",0,"#000000",NULL,
NULL,"nine eleven was an inside job",0,"#000000",NULL,
NULL,"éirígí",0,"#000000",NULL,
